ID,Institución,Trámite,URL,URL Catálogo
596,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Venta de árboles frutales de vivero en bolsa,Pendiente,https://tramites.gob.gt/servicio/596/
597,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Venta de tierra para vivero,Pendiente,https://tramites.gob.gt/servicio/597/
598,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Venta de plantas acuáticas des contaminadoras de vivero,Pendiente,https://tramites.gob.gt/servicio/598/
599,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Servicio de reforestación,Pendiente,https://tramites.gob.gt/servicio/599/
600,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Servicio de mantenimiento de reforestación,Pendiente,https://tramites.gob.gt/servicio/600/
601,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Atitlán y su Entorno -AMSCLAE-,Trámite de solicitud para realizar prácticas o pasantías e intercambios,https://www.amsclae.gob.gt/solicitud-de-practicas/,https://tramites.gob.gt/servicio/601/
602,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Atitlán y su Entorno -AMSCLAE-,Trámite y procedimiento de denuncia ambiental,https://www.amsclae.gob.gt/denuncia-ambiental/,https://tramites.gob.gt/servicio/602/
603,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Atitlán y su Entorno -AMSCLAE-,Trámite y procedimiento de licencia de investigación en la cuenca del lago de Atitlán,https://www.amsclae.gob.gt/solicitud-de-licencias-de-investigacion/,https://tramites.gob.gt/servicio/603/
604,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Atitlán y su Entorno -AMSCLAE-,Trámite “opinión previa a la emisión de licencias municipales”.,https://www.amsclae.gob.gt,https://tramites.gob.gt/servicio/604/
605,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Atitlán y su Entorno -AMSCLAE-,Trámite para requerimiento de constancias laborales de ex colaboradores o contratistas.,https://www.amsclae.gob.gt/constancia-laboral/,https://tramites.gob.gt/servicio/605/
607,Comisión Nacional de Energía Eléctrica -CNEE-,Denuncias de Usuarios del Servicio de Distribución de Energía Eléctrica,https://cnee.gob.gt/xreclamos/Denuncias.php    https://cnee.gob.gt/xreclamos/vistas/consultadenuncia.php,https://tramites.gob.gt/servicio/607/
608,Comisión Nacional de Energía Eléctrica -CNEE-,Emisión de Premisas para Estudios de la NTAUCT o NEAST,https://cnee.gob.gt/estudioselectricos/solicitudPremisas/Vistas/login.vista.php,https://tramites.gob.gt/servicio/608/
614,Comisión Presidencial Contra la Discriminación y Racismo -CODISRA-,Asesoría Legal al Ciudadano Que Sufre Discriminación,https://forms.gle/ifY5vuYWMdNnYxVg9,https://tramites.gob.gt/servicio/614/
625,Consejo Nacional de Áreas Protegidas -CONAP-,Ingreso al Programa de Compensación a Conservación,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/625/
626,Consejo Nacional de Áreas Protegidas -CONAP-,Convenio de Cooperación-Compensación a Conservación,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/626/
627,Consejo Nacional de Áreas Protegidas -CONAP-,Liquidación de Desembolsos,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/627/
628,Consejo Nacional de Áreas Protegidas -CONAP-,Solicitud de Adenda a Convenio de Cooperación-Compensación a Conservación,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/628/
629,Consejo Nacional de Áreas Protegidas -CONAP-,"Gestión de la Solicitud de Inscripción de Nuevas Áreas Protegidas en el SIGAP, Bajo la Categoría de Manejo Tipo IV, Parque Regional",https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/629/
630,Consejo Nacional de Áreas Protegidas -CONAP-,Gestión de la Solicitud de Modificación en el Registro de Inscripción de Parques Regionales Municipales en el SIGAP,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/630/
631,Consejo Nacional de Áreas Protegidas -CONAP-,Gestión de la Solicitud de Cancelación del Registro de Inscripción de Parques Regionales Municipales en el SIGAP,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/631/
632,Consejo Nacional de Áreas Protegidas -CONAP-,"Gestión de la Solicitud de Inscripción de Nuevas Áreas Protegidas, Bajo la Categoría de Manejo Tipo V Reserva Natural Privada en el SIGAP",https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/632/
633,Consejo Nacional de Áreas Protegidas -CONAP-,Gestión de la Solicitud de Modificación en el Registro de Inscripción de Reservas Naturales Privadas en el SIGAP,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/633/
634,Consejo Nacional de Áreas Protegidas -CONAP-,Gestión de la Solicitud de Cancelación del Registro de Inscripción de Reservas Naturales Privadas en el SIGAP,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/634/
635,Consejo Nacional de Áreas Protegidas -CONAP-,Gestión de la Solicitud de Elaboración o Actualización de Planes Maestros de Áreas Protegidas en el SIGAP,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/635/
636,Consejo Nacional de Áreas Protegidas -CONAP-,"Gestión de la Elaboración, Revisión y Aprobación de Planes Operativos Anuales de Áreas Protegidas en el SIGAP, Bajo Administración Conjunta, Coadministración o Gestión Compartida",https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/636/
637,Consejo Nacional de Áreas Protegidas -CONAP-,"Gestión, Revisión y Elaboración de los Planes de Gestión y Manejo de Visitantes en Áreas Protegidas del SIGAP",https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/637/
638,Consejo Nacional de Áreas Protegidas -CONAP-,Coordinación del Registro Unificado de Visitantes en Áreas Protegidas del SIGAP,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/638/
639,Consejo Nacional de Áreas Protegidas -CONAP-,Gestión y Desarrollo de Convenios de Coadministración de Áreas Protegidas del Sigap,Pendiente,https://tramites.gob.gt/servicio/639/
640,Consejo Nacional de Áreas Protegidas -CONAP-,Gestión y Desarrollo de Convenios en la Administración Conjunta de Áreas Protegidas del SIGAP y Áreas Naturales de Importancia para la Conservación de la Diversidad Biológica de Guatemala,Pendiente,https://tramites.gob.gt/servicio/640/
641,Consejo Nacional de Áreas Protegidas -CONAP-,Gestión y Desarrollo de Convenios en la Gestión Compartida de Áreas Protegidas del SIGAP y Áreas Naturales de Importancia para la Conservación de la Diversidad Biológica de Guatemala,Pendiente,https://tramites.gob.gt/servicio/641/
642,Consejo Nacional de Áreas Protegidas -CONAP-,Solicitud Específica sobre Áreas Protegidas Que Integran el Sigap,Pendiente,https://tramites.gob.gt/servicio/642/
643,Consejo Nacional de Áreas Protegidas -CONAP-,Regular la Permanencia de Asentamientos Humanos en Áreas,Pendiente,https://tramites.gob.gt/servicio/643/
644,Consejo Nacional de Áreas Protegidas -CONAP-,Catastro en Áreas Protegidas Legalmente Declaradas,Pendiente,https://tramites.gob.gt/servicio/644/
645,Consejo Nacional de Áreas Protegidas -CONAP-,Mesas Técnicas para Resolución de Controversias Relacionadas Con las Áreas Protegidas,Pendiente,https://tramites.gob.gt/servicio/645/
646,Consejo Nacional de Áreas Protegidas -CONAP-,Inscripción de Regentes Forestales (Todos Aquellos Usuarios Nuevos y para los que no han Renovado Regencia),Pendiente,https://tramites.gob.gt/servicio/646/
647,Consejo Nacional de Áreas Protegidas -CONAP-,Renovación de Vigencia de Regentes Forestales,Pendiente,https://tramites.gob.gt/servicio/647/
648,Consejo Nacional de Áreas Protegidas -CONAP-,Cambio de Categoría de Regentes Forestales,Pendiente,https://tramites.gob.gt/servicio/648/
649,Consejo Nacional de Áreas Protegidas -CONAP-,Actualización de Datos de Regentes Forestales,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/649/
650,Consejo Nacional de Áreas Protegidas -CONAP-,Registro de Empresas Comercializadora de Flora Maderable,Pendiente,https://tramites.gob.gt/servicio/650/
651,Consejo Nacional de Áreas Protegidas -CONAP-,Ampliación y/o  Actualización del Registro de Empresas Comercializadoras de Flora Maderable,Pendiente,https://tramites.gob.gt/servicio/651/
652,Consejo Nacional de Áreas Protegidas -CONAP-,Exportación de Flora Maderable Incluidas en los Apéndices II y III de CITES,Pendiente,https://tramites.gob.gt/servicio/652/
653,Consejo Nacional de Áreas Protegidas -CONAP-,Importación de Flora Maderable Incluidas en los Apéndices II y III de CITES,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/653/
654,Consejo Nacional de Áreas Protegidas -CONAP-,Reexportación de Flora Maderable Incluidas en los Apéndices II y III de CITES,Pendiente,https://tramites.gob.gt/servicio/654/
665,Consejo Nacional de Áreas Protegidas -CONAP-,Registro para Personas Individuales o Jurídicas Que Se Dedican a la Comercialización de Flora y Fauna Silvestre,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/665/
666,Consejo Nacional de Áreas Protegidas -CONAP-,Certificado de Técnico Profesional Regente de Empresas de Flora y Fauna Silvestre,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/666/
667,Consejo Nacional de Áreas Protegidas -CONAP-,Registro de Técnico Profesional Regente para Granjas de Reproducción y Aprovechamiento Comercial de Vida Silvestre,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/667/
668,Consejo Nacional de Áreas Protegidas -CONAP-,Licencia de Cacería,Pendiente,https://tramites.gob.gt/servicio/668/
669,Consejo Nacional de Áreas Protegidas -CONAP-,Renovación Licencia de Cacería,Pendiente,https://tramites.gob.gt/servicio/669/
670,Consejo Nacional de Áreas Protegidas -CONAP-,Reposición de Licencia de Caza y Boletas de Control de Piezas,Pendiente,https://tramites.gob.gt/servicio/670/
671,Consejo Nacional de Áreas Protegidas -CONAP-,Registro de Tortugarios,Pendiente,https://tramites.gob.gt/servicio/671/
672,Consejo Nacional de Áreas Protegidas -CONAP-,Registro de Parlameros,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/672/
673,Consejo Nacional de Áreas Protegidas -CONAP-,Guía de Transporte,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/673/
674,Consejo Nacional de Áreas Protegidas -CONAP-,"Certificados CITES, Certificados para Exportación / Importación No CITES, Certificados de Origen para Exportación de Flora y Fauna Silvestre",https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/674/
675,Consejo Nacional de Áreas Protegidas -CONAP-,"Exportación de Piezas, Pieles y Trofeos de Caza",https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/675/
676,Consejo Nacional de Áreas Protegidas -CONAP-,Inspección de Embarque,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/676/
677,Consejo Nacional de Áreas Protegidas -CONAP-,Registro para Pequeños Productores,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/677/
678,Consejo Nacional de Áreas Protegidas -CONAP-,Registro de Personas Individuales o Jurídicas que se dedican a Cotos de Caza,https://conap.gob.gt/tramites/,https://tramites.gob.gt/servicio/678/
679,Consejo Nacional de Áreas Protegidas -CONAP-,Registro de Investigadores Individuales o Investigadores Jurídicos,Pendiente,https://tramites.gob.gt/servicio/679/
680,Consejo Nacional de Áreas Protegidas -CONAP-,Licencia de Investigación,Pendiente,https://tramites.gob.gt/servicio/680/
681,Consejo Nacional de Áreas Protegidas -CONAP-,Licencia de Colecta Asociada a una Licencia de Investigación,Pendiente,https://tramites.gob.gt/servicio/681/
682,Consejo Nacional de Áreas Protegidas -CONAP-,Guía de Transporte Asociada a una Licencia de Investigación,Pendiente,https://tramites.gob.gt/servicio/682/
683,Consejo Nacional de Áreas Protegidas -CONAP-,Licencia de Exportación Asociada a Una Licencia de Investigación,Pendiente,https://tramites.gob.gt/servicio/683/
684,Consejo Nacional de Áreas Protegidas -CONAP-,Finalización de Licencia de Investigación,Pendiente,https://tramites.gob.gt/servicio/684/
685,Consejo Nacional de Áreas Protegidas -CONAP-,Registro de Organizaciones No Gubernamentales Conservacionistas,Pendiente,https://tramites.gob.gt/servicio/685/
686,Consejo Nacional de Áreas Protegidas -CONAP-,"Denuncias Registradas en el Portal, Formulario, Denuncia en Línea",https//conap.gob.gt/denuncias/,https://tramites.gob.gt/servicio/686/
687,Consejo Nacional de Áreas Protegidas -CONAP-,Solicitudes de Información Pública al Consejo Nacional de Areas Protegidas,https://sip.conap.gob.gt/,https://tramites.gob.gt/servicio/687/
688,Consejo Nacional de Atención al Migrante de Guatemala -CONAMIGUA-,Traslado en territorio nacional de guatemaltecos fallecidos en el extranjero,https://conamigua.gob.gt/formularios/,https://tramites.gob.gt/servicio/688/
689,Consejo Nacional de Atención al Migrante de Guatemala -CONAMIGUA-,Trámites varios en territorio nacional de guatemaltecos fallecidos en el extranjero,https://conamigua.gob.gt/formularios/,https://tramites.gob.gt/servicio/689/
690,Consejo Nacional para la Atención a Personas con Discapacidad -CONADI-,Solicitud de Bolsas de Estudio,https://conadi.gob.gt/web/bolsas-de-estudio/,https://tramites.gob.gt/servicio/690/
691,Consejo Nacional para la Atención a Personas con Discapacidad -CONADI-,Solicitud de Apoyos Puntuales,Pendiente,https://tramites.gob.gt/servicio/691/
692,Secretaría Ejecutiva de la Coordinadora Nacional para la Reducción de Desastres -CONRED-,Capacitaciones y Certificaciones del Sistema de Comando de Incidentes (público general),https://conred.gob.gt/capacitaciones-sci/,https://tramites.gob.gt/servicio/692/
693,Secretaría Ejecutiva de la Coordinadora Nacional para la Reducción de Desastres -CONRED-,Capacitaciones y Certificaciones del Sistema de Comando de Incidentes (grupos especializados),https://conred.gob.gt/certificaciones-sci/,https://tramites.gob.gt/servicio/693/
707,Defensoría de la Mujer Indígena -DEMI-,Servicio de Recursos Humanos,https://demi.gob.gt/simplificacion/servicios-rrhh.html,https://tramites.gob.gt/servicio/707/
1015,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Registro de empresas,http://fopavi.gob.gt:2747/gestion-publico/public/,https://tramites.gob.gt/servicio/1015/
1016,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Rescisión de contrato,http://fopavi.gob.gt:9590/index.php/formularios-para-tramites/,https://tramites.gob.gt/servicio/1016/
1017,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Prórroga de plazo de contrato y/o fianzas,http://fopavi.gob.gt:9590/index.php/formularios-para-tramites/,https://tramites.gob.gt/servicio/1017/
1018,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Solicitud de expediente de bitácora,http://fopavi.gob.gt:9590/index.php/formularios-para-tramites/,https://tramites.gob.gt/servicio/1018/
1019,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Solicitud de supervisión de proyecto,http://fopavi.gob.gt:9590/index.php/formularios-para-tramites/,https://tramites.gob.gt/servicio/1019/
1020,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Solicitud de registró de entidad intermediaria autorizada,http://fopavi.gob.gt:9590/index.php/formularios-para-tramites/,https://tramites.gob.gt/servicio/1020/
1023,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Solvencias de pago de inmueble,http://udevipo.gob.gt/wp-content/uploads/2023/05/1-SOLVENCIA-DE-PAGO-DE-INMUEBLE.pdf,https://tramites.gob.gt/servicio/1023/
1024,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Solicitud de adjudicación de bien inmueble,http://udevipo.gob.gt/wp-content/uploads/2023/05/4-SOLICITUD-DE-ADJUDICACION-DE-INMUEBLE.pdf,https://tramites.gob.gt/servicio/1024/
1025,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Cancelación de patrimonio familiar (plazo vencido),http://udevipo.gob.gt/wp-content/uploads/2023/05/7-CANCELACION-DE-PATRIMONIO-FAMILIAR-PLAZO-VENCIDO-1.pdf,https://tramites.gob.gt/servicio/1025/
1026,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Cancelación de patrimonio familiar:(escritura publica),http://udevipo.gob.gt/wp-content/uploads/2023/05/10-CANCELACION-DE-PATRIMONIO-FAMILIAR-ESCRITURA-PUBLICA.pdf,https://tramites.gob.gt/servicio/1026/
1052,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Reclamos de correspondencia internacional,https://correosytelegrafos.civ.gob.gt/formularios/,https://tramites.gob.gt/servicio/1052/
1053,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Seguimiento de paquetes para su distribución,https://correosytelegrafos.civ.gob.gt/formularios/,https://tramites.gob.gt/servicio/1053/
1054,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Solicitud de pronóstico climático,https://forms.gle/TxtLz8H5tEyMutqa7,https://tramites.gob.gt/servicio/1054/
1056,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Solicitud de entrevista con personal técnico-profesional,https://forms.gle/8vX8rGBxSxphiLwx6,https://tramites.gob.gt/servicio/1056/
1058,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Solicitud de datos sismológicos,https://forms.gle/gcv494ztGzrLQP3d6,https://tramites.gob.gt/servicio/1058/
1060,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Autorización para Prestar Servicio de Cable (Persona Individual),http://uncosu.gob.gt/nueva-empresa,https://tramites.gob.gt/servicio/1060/
1061,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Autorización para Prestar Servicio de Cable (Persona Jurídica),http://uncosu.gob.gt/nueva-empresa,https://tramites.gob.gt/servicio/1061/
1062,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Registro de Locutor,https://docs.google.com/forms/d/e/1FAIpQLSdv_WjIH11DWPU1Fu8MSz1p3XA9UD8P5h1aWnw0T3p9DTOeSA/viewform,https://tramites.gob.gt/servicio/1062/
1063,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Actualización del Registro de Locutor,https://docs.google.com/forms/d/e/1FAIpQLSdv_WjIH11DWPU1Fu8MSz1p3XA9UD8P5h1aWnw0T3p9DTOeSA/viewform,https://tramites.gob.gt/servicio/1063/
1076,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-",Adquisición por ocupación de área de derecho de vía a favor del Estado,https://www.caminos.gob.gt/Procesos/1-%20ADQUISICI%C3%93N%20POR%20OCUPACI%C3%93N%20DE%20%C3%81REA%20DE%20DERECHO%20DE%20V%C3%8DA/FORMULARIO%20PARA%20ADQUISI%C3%93N%20%20DV.pdf,https://tramites.gob.gt/servicio/1076/
1077,Ministerio de Cultura y Deportes -MCD-,Evaluación de Conservación de Bienes,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1077/
1078,Ministerio de Cultura y Deportes -MCD-,Formulario B - Trabajos menores y de mantenimiento de bienes inmuebles patrimoniales de Guatemala,https://mcd.gob.gt/tramites-espectaculos-publicos/,https://tramites.gob.gt/servicio/1078/
1079,Ministerio de Cultura y Deportes -MCD-,Remodelación e Integración de Bienes Inmuebles,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1079/
1080,Ministerio de Cultura y Deportes -MCD-,Proyectos de Restauración de Bienes Inmuebles Patrimoniales,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1080/
1082,Ministerio de Cultura y Deportes -MCD-,Trabajos de Restauración en el Cementerio General de la Ciudad de Guatemala.,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1082/
1083,Ministerio de Cultura y Deportes -MCD-,Trabajos Menores y de Mantenimiento en el Cementerio General de la Ciudad de Guatemala.,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1083/
1084,Ministerio de Cultura y Deportes -MCD-,Trabajos de ampliación y de obra nueva en el Cementerio General de la Ciudad de Guatemala.,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1084/
1086,Ministerio de Cultura y Deportes -MCD-,Investigación Arqueológica,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1086/
1087,Ministerio de Cultura y Deportes -MCD-,Proyectos de salvamento arqueológico,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1087/
1088,Ministerio de Cultura y Deportes -MCD-,"Evaluación de Restauración, Construcción o Remodelación de Bienes Inmuebles",https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1088/
1089,Ministerio de Cultura y Deportes -MCD-,Evaluación del estado de conservación de los bienes.,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1089/
1091,Ministerio de Cultura y Deportes -MCD-,Exoneración de cobro por ingreso a parques y sitios arqueológicos,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1091/
1092,Ministerio de Cultura y Deportes -MCD-,"Autorización para filmaciones, grabaciones y fotografías dentro de los parques y sitios arqueológicos",https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1092/
1094,Ministerio de Cultura y Deportes -MCD-,Ceremonias espirituales mayas en los parques y sitios arqueológicos,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1094/
1095,Ministerio de Cultura y Deportes -MCD-,Declaratoria de Patrimonio Cultural Intangible de la Nación,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1095/
1096,Ministerio de Cultura y Deportes -MCD-,"Identificación, verificación, georreferenciación y mapeo de lugares sagrados",https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1096/
1098,Ministerio de Cultura y Deportes -MCD-,Asistencia técnica en las artesanías por medio de capacitaciones y registro en pueblos de Guatemala,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1098/
1099,Ministerio de Cultura y Deportes -MCD-,Solicitud de Registro de Bienes Culturales Muebles,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1099/
1100,Ministerio de Cultura y Deportes -MCD-,"Registro de bienes culturales inmuebles, sitios y lugares sagrados (R2)",https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1100/
1101,Ministerio de Cultura y Deportes -MCD-,Certificación de Bienes Culturales Inmuebles para el otorgamiento de licencias de construcción o investigadores (R3),https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1101/
1102,Ministerio de Cultura y Deportes -MCD-,Constancia de Bienes Muebles para solicitudes de exportación e importación,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1102/
1103,Ministerio de Cultura y Deportes -MCD-,Traspaso de Bienes Culturales,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1103/
1104,Ministerio de Cultura y Deportes -MCD-,Certificación Bienes Culturales,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1104/
1105,Ministerio de Cultura y Deportes -MCD-,Certificación de Bienes Culturales Inmuebles para investigadores (R7),https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1105/
1106,Ministerio de Cultura y Deportes -MCD-,Registro de bienes culturales de proyectos arqueológicos (R8),https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1106/
1108,Ministerio de Cultura y Deportes -MCD-,acervo bibliográfico patrimonial del Fondo Antiguo de la Biblioteca Nacional de Guatemala,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1108/
1109,Ministerio de Cultura y Deportes -MCD-,Documentos Bibliográficos y Hemerográficos,https://mcd.gob.gt/tramites-y-servicios/,https://tramites.gob.gt/servicio/1109/
